alg,n,ok_60s,time_s,plan_len
BFS,2,True,0.00036,6
IDS,2,True,0.00072,6
A*,2,True,0.0014,6
GBFS,2,True,0.0007,6
BFS,3,True,0.0032,10
IDS,3,True,0.21,10
A*,3,True,0.03,10
GBFS,3,True,0.0058,11
BFS,4,True,0.029,13
IDS,4,False,,
A*,4,True,0.4,13
GBFS,4,True,0.024,15
BFS,5,True,0.25,17
IDS,5,False,,
A*,5,True,4.6,17
GBFS,5,True,0.89,18
BFS,6,True,2.0,19
IDS,6,False,,
A*,6,True,43.0,19
GBFS,6,True,1.1,23
BFS,7,True,15.0,22
IDS,7,False,,
A*,7,False,,
GBFS,7,True,5.4,26
BFS,8,False,,
IDS,8,False,,
A*,8,False,,
GBFS,8,False,,
BFS,9,False,,
IDS,9,False,,
A*,9,False,,
GBFS,9,False,,
BFS,10,False,,
IDS,10,False,,
A*,10,False,,
GBFS,10,False,,
BFS,11,False,,
IDS,11,False,,
A*,11,False,,
GBFS,11,False,,
BFS,12,False,,
IDS,12,False,,
A*,12,False,,
GBFS,12,False,,
BFS,13,False,,
IDS,13,False,,
A*,13,False,,
GBFS,13,False,,
BFS,14,False,,
IDS,14,False,,
A*,14,False,,
GBFS,14,False,,
BFS,15,False,,
IDS,15,False,,
A*,15,False,,
GBFS,15,False,,
